Patch,Core_ID,Ring_ID,Ring Width
Transition,RLARGE02,RLARGE02_2,1.06
Transition,RLARGE02,RLARGE02_3,0.89
Burned Forest,S01T01,S01T01_1,0.59
Burned Forest,S01T01,S01T01_2,0.64
Burned Forest,S01T01,S01T01_3,0.41
Burned Forest,S01T02,S01T02_1,0.14
Burned Forest,S01T02,S01T02_2,0.11
Burned Forest,S01T02,S01T02_3,0.16
Burned Forest,S01T03,S01T03_1,0.19
Burned Forest,S01T03,S01T03_2,0.53
Burned Forest,S01T03,S01T03_3,0.37
Burned Forest,S01T04,S01T04_1,0.97
Burned Forest,S01T04,S01T04_2,0.73
Burned Forest,S01T04,S01T04_3,0.87
Burned Forest,S01T05,S01T05_1,0.88
Burned Forest,S01T05,S01T05_2,0.61
Burned Forest,S01T05,S01T05_3,0.47
Burned Forest,S01T06,S01T06_1,0.98
Burned Forest,S01T06,S01T06_2,0.79
Burned Forest,S01T06,S01T06_3,0.77
Burned Forest,S01T07,S01T07_1,0.83
Burned Forest,S01T07,S01T07_2,0.79
Burned Forest,S01T07,S01T07_3,0.78
Burned Forest,S02T03,S02T03_1,0.17
Burned Forest,S02T03,S02T03_2,0.23
Burned Forest,S02T03,S02T03_3,0.2
Burned Forest,S02T04,S02T04_1,0.07
Burned Forest,S02T04,S02T04_2,0.06
Burned Forest,S02T04,S02T04_3,0.07
Burned Forest,S03T01,S03T01_1,0.17
Burned Forest,S03T01,S03T01_2,0.12
Burned Forest,S03T01,S03T01_3,0.22
Burned Forest,S03T02a,S03T02a_1,0.27
Burned Forest,S03T02a,S03T02a_2,0.23
Burned Forest,S03T02a,S03T02a_3,0.2
Burned Forest,S03T03b,S03T03b_1,0.22
Burned Forest,S03T03b,S03T03b_2,0.23
Burned Forest,S03T03b,S03T03b_3,0.3
Burned Forest,S03T05,S03T05_1,0.07
Burned Forest,S03T05,S03T05_2,0.08
Burned Forest,S03T05,S03T05_3,0.06
Burned Forest,S03T06,S03T06_1,0.36
Burned Forest,S03T06,S03T06_2,0.95
Burned Forest,S03T06,S03T06_3,0.59
Burned Forest,S04T02,S04T02_1,0.1
Burned Forest,S04T02,S04T02_2,0.35
Burned Forest,S04T02,S04T02_3,0.13
Burned Forest,S04T04,S04T04_1,0.36
Burned Forest,S04T04,S04T04_2,0.38
Burned Forest,S04T04,S04T04_3,0.26
Burned Forest,S04T05,S04T05_1,0.2
Burned Forest,S04T05,S04T05_2,0.16
Burned Forest,S04T05,S04T05_3,0.22
Burned Forest,S04T06,S04T06_1,0.31
Burned Forest,S04T06,S04T06_2,0.23
Burned Forest,S04T06,S04T06_3,0.21
Burned Forest,S04T07b,S04T07b_1,0.18
Burned Forest,S04T07b,S04T07b_2,0.12
Burned Forest,S04T07b,S04T07b_3,0.09
Transition,S051901,S051901_1,0.36
Transition,S051901,S051901_2,0.39
Transition,S051901,S051901_3,0.44
Transition,S05T04,S05T04_1,0.72
Transition,S05T04,S05T04_2,0.56
Transition,S05T04,S05T04_3,1.14
Burned Forest,S061901,S061901_1,0.39
Burned Forest,S061901,S061901_2,0.38
Burned Forest,S061901,S061901_3,0.41
Burned Forest,S06T01,S06T01_1,0.42
Burned Forest,S06T01,S06T01_2,0.43
Burned Forest,S06T01,S06T01_3,0.39
Burned Forest,S071901,S071901_1,0.09
Burned Forest,S071901,S071901_2,0.13
Burned Forest,S071901,S071901_3,0.08
Burned Forest,S081901b,S081901b_1,0.12
Burned Forest,S081901b,S081901b_2,0.13
Burned Forest,S081901b,S081901b_3,0.22
Bog Forest,BF01T01,BF01T01_1,0.14
Bog Forest,BF01T01,BF01T01_2,0.16
Bog Forest,BF01T01,BF01T01_3,0.08
Bog Forest,BF01T02,BF01T02_1,0.11
Bog Forest,BF01T02,BF01T02_2,0.09
Bog Forest,BF01T02,BF01T02_3,0.08
Bog Forest,BF021901a,BF021901a_1,0.08
Bog Forest,BF021901a,BF021901a_2,0.04
Bog Forest,BF021901a,BF021901a_3,0.11
Bog Forest,BF021902,BF021902_1,0.13
Bog Forest,BF021902,BF021902_2,0.2
Bog Forest,BF021902,BF021902_3,0.25
Bog Forest,BF02T04,BF02T04_1,0.2
Bog Forest,BF02T04,BF02T04_2,0.26
Bog Forest,BF02T04,BF02T04_3,0.24
Bog Forest,BF02T05B,BF02T05B_1,0.03
Bog Forest,BF02T05B,BF02T05B_2,0.03
Bog Forest,BF02T05B,BF02T05B_3,0.07
Bog Forest,BF03T01,BF03T01_1,0.11
Bog Forest,BF03T01,BF03T01_2,0.15
Bog Forest,BF03T01,BF03T01_3,0.13
Bog Forest,BF03T03,BF03T03_1,0.36
Bog Forest,BF03T03,BF03T03_2,0.34
Bog Forest,BF03T03,BF03T03_3,0.38
Bog Forest,BF03T05,BF03T05_1,0.3
Bog Forest,BF03T05,BF03T05_2,0.3
Bog Forest,BF03T05,BF03T05_3,0.13
Bog Forest,BF03T08,BF03T08_1,0.25
Bog Forest,BF03T08,BF03T08_2,0.22
Bog Forest,BF03T08,BF03T08_3,0.27
Bog Forest,BF04T01,BF04T01_1,0.32
Bog Forest,BF04T01,BF04T01_2,0.3
Bog Forest,BF04T01,BF04T01_3,0.18
Bog Forest,BF04T04B,BF04T04B_1,0.21
Bog Forest,BF04T04B,BF04T04B_2,0.26
Bog Forest,BF04T04B,BF04T04B_3,0.22
Bog Forest,BF04T06,BF04T06_1,0.04
Bog Forest,BF04T06,BF04T06_2,0.05
Bog Forest,BF04T06,BF04T06_3,0.08
Bog Forest,BF04T07,BF04T07_1,0.28
Bog Forest,BF04T07,BF04T07_2,0.22
Bog Forest,BF04T07,BF04T07_3,0.19
Bog Forest,BF05T01,BF05T01_1,0.1
Bog Forest,BF05T01,BF05T01_2,0.11
Bog Forest,BF05T01,BF05T01_3,0.17
Bog Forest,BF05T02b,BF05T02b_1,0.12
Bog Forest,BF05T02b,BF05T02b_2,0.09
Bog Forest,BF05T02b,BF05T02b_3,0.15
Bog Forest,BF05T04,BF05T04_1,0.25
Bog Forest,BF05T04,BF05T04_2,0.24
Bog Forest,BF05T04,BF05T04_3,0.34
Bog Forest,BF05T05,BF05T05_1,0.04
Bog Forest,BF05T05,BF05T05_2,0.04
Bog Forest,BF05T05,BF05T05_3,0.05
Bog Forest,BF05T06,BF05T06_1,0.27
Bog Forest,BF05T06,BF05T06_2,0.29
Bog Forest,BF05T06,BF05T06_3,0.32
Bog Forest,BF05T07,BF05T07_1,0.25
Bog Forest,BF05T07,BF05T07_2,0.23
Bog Forest,BF05T07,BF05T07_3,0.23
Bog Forest,BF06T01,BF06T01_1,0.1
Bog Forest,BF06T01,BF06T01_2,0.13
Bog Forest,BF06T01,BF06T01_3,0.13
Bog Forest,BF06T02,BF06T02_1,0.04
Bog Forest,BF06T02,BF06T02_2,0.04
Bog Forest,BF06T02,BF06T02_3,0.11
Bog Forest,BF06T03,BF06T03_1,0.18
Bog Forest,BF06T03,BF06T03_2,0.18
Bog Forest,BF06T03,BF06T03_3,0.26
Bog Forest,BF06T05,BF06T05_1,0.04
Bog Forest,BF06T05,BF06T05_2,0.05
Bog Forest,BF06T05,BF06T05_3,0.12
Bog Forest,BF06T06,BF06T06_1,0.05
Bog Forest,BF06T06,BF06T06_2,0.05
Bog Forest,BF06T06,BF06T06_3,0.04
Bog Forest,BF07T01,BF07T01_1,0.15
Bog Forest,BF07T01,BF07T01_2,0.23
Bog Forest,BF07T01,BF07T01_3,0.13
Bog Forest,BF07T02,BF07T02_1,0.2
Bog Forest,BF07T02,BF07T02_2,0.16
Bog Forest,BF07T02,BF07T02_3,0.13
Bog Forest,BF07T03,BF07T03_1,0.24
Bog Forest,BF07T03,BF07T03_2,0.29
Bog Forest,BF07T03,BF07T03_3,0.26
Bog Forest,BF08T02,BF08T02_1,0.1
Bog Forest,BF08T02,BF08T02_2,0.25
Bog Forest,BF08T02,BF08T02_3,0.29
Bog Forest,BF08T03,BF08T03_1,0.11
Bog Forest,BF08T03,BF08T03_2,0.1
Bog Forest,BF08T03,BF08T03_3,0.13
Bog Forest,BF09T01,BF09T01_1,0.05
Bog Forest,BF09T01,BF09T01_2,0.06
Bog Forest,BF09T01,BF09T01_3,0.05
Forest,F01T01,F01T01_1,0.22
Forest,F01T01,F01T01_2,0.08
Forest,F01T01,F01T01_3,0.14
Forest,F01T02,F01T02_1,0.13
Forest,F01T02,F01T02_2,0.15
Forest,F01T02,F01T02_3,0.19
Forest,F01T03,F01T03_1,0.13
Forest,F01T03,F01T03_2,0.12
Forest,F01T03,F01T03_3,0.2
Forest,F01T04,F01T04_1,0.35
Forest,F01T04,F01T04_2,0.29
Forest,F01T04,F01T04_3,0.27
Forest,F02T07,F02T07_1,0.26
Forest,F02T07,F02T07_2,0.17
Forest,F02T07,F02T07_3,0.14
Forest,F02T08,F02T08_1,0.49
Forest,F02T08,F02T08_2,0.35
Forest,F02T08,F02T08_3,0.42
Forest,F02T09,F02T09_1,0.23
Forest,F02T09,F02T09_2,0.21
Forest,F02T09,F02T09_3,0.24
Forest,F02T10,F02T10_1,0.19
Forest,F02T10,F02T10_2,0.17
Forest,F02T10,F02T10_3,0.16
Forest,F02T12,F02T12_1,0.19
Forest,F02T12,F02T12_2,0.13
Forest,F02T12,F02T12_3,0.14
Forest,F03T01,F03T01_1,0.67
Forest,F03T01,F03T01_2,0.53
Forest,F03T01,F03T01_3,0.46
Forest,F03T05,F03T05_1,0.29
Forest,F03T05,F03T05_2,0.46
Forest,F03T05,F03T05_3,0.45
Forest,F03T06,F03T06_1,1.01
Forest,F03T06,F03T06_2,0.78
Forest,F03T06,F03T06_3,0.7
Forest,F03T07,F03T07_1,0.6
Forest,F03T07,F03T07_2,0.62
Forest,F03T07,F03T07_3,0.62
Forest,F03T10,F03T10_1,0.23
Forest,F03T10,F03T10_2,0.21
Forest,F03T10,F03T10_3,0.19
Forest,F03T11,F03T11_1,0.37
Forest,F03T11,F03T11_2,0.48
Forest,F03T11,F03T11_3,0.47
Forest,F04T01b,F04T01b_1,0.12
Forest,F04T01b,F04T01b_2,0.26
Forest,F04T01b,F04T01b_3,0.27
Forest,F04T02,F04T02_1,0.19
Forest,F04T02,F04T02_2,0.15
Forest,F04T02,F04T02_3,0.19
Forest,F04T03,F04T03_1,0.18
Forest,F04T03,F04T03_2,0.19
Forest,F04T03,F04T03_3,0.11
Forest,F04T04,F04T04_1,0.11
Forest,F04T04,F04T04_2,0.16
Forest,F04T04,F04T04_3,0.33
Forest,F04T06,F04T06_1,0.2
Forest,F04T06,F04T06_2,0.16
Forest,F04T06,F04T06_3,0.11
Forest,F05T01,F05T01_1,0.27
Forest,F05T01,F05T01_2,0.26
Forest,F05T01,F05T01_3,0.19
Forest,F05T02,F05T02_1,0.06
Forest,F05T02,F05T02_2,0.05
Forest,F05T02,F05T02_3,0.05
Forest,F05T03,F05T03_1,0.1
Forest,F05T03,F05T03_2,0.15
Forest,F05T03,F05T03_3,0.12
Forest,F05T08a,F05T08a_1,0.12
Forest,F05T08a,F05T08a_2,0.21
Forest,F05T08a,F05T08a_3,0.14
Forest,F06T01c,F06T01c_1,0.31
Forest,F06T01c,F06T01c_2,0.31
Forest,F06T01c,F06T01c_3,0.21
Forest,F06T02,F06T02_1,0.15
Forest,F06T02,F06T02_2,0.17
Forest,F06T02,F06T02_3,0.37
Forest,F06T09,F06T09_1,0.27
Forest,F06T09,F06T09_2,0.24
Forest,F06T09,F06T09_3,0.32
Forest,F06T10C,F06T10C_1,0.38
Forest,F06T10C,F06T10C_2,0.43
Forest,F06T10C,F06T10C_3,0.36
Forest,F06T11A,F06T11A_1,0.12
Forest,F06T11A,F06T11A_2,0.1
Forest,F06T11A,F06T11A_3,0.08
Forest,F06T12,F06T12_1,0.16
Forest,F06T12,F06T12_2,0.15
Forest,F06T12,F06T12_3,0.33
Forest,F06T13,F06T13_1,0.4
Forest,F06T13,F06T13_2,0.38
Forest,F06T13,F06T13_3,0.38
Forest,F06T15b,F06T15b_1,0.49
Forest,F06T15b,F06T15b_2,0.44
Forest,F06T15b,F06T15b_3,0.26
Forest,F071902b,F071902b_1,0.18
Forest,F071902b,F071902b_2,0.32
Forest,F071902b,F071902b_3,0.47
Forest,F07T01b,F07T01b_1,0.4
Forest,F07T01b,F07T01b_2,0.43
Forest,F07T01b,F07T01b_3,0.31
Forest,F07T02b,F07T02b_1,0.41
Forest,F07T02b,F07T02b_2,0.29
Forest,F07T02b,F07T02b_3,0.23
Forest,F07T03b,F07T03b_1,0.05
Forest,F07T03b,F07T03b_2,0.12
Forest,F07T03b,F07T03b_3,0.15
Forest,F081901,F081901_1,0.3
Forest,F081901,F081901_2,0.55
Forest,F081901,F081901_3,0.7
Forest,F081902,F081902_1,0.21
Forest,F081902,F081902_2,0.18
Forest,F081902,F081902_3,0.33
Forest,F09T01,F09T01_1,0.88
Forest,F09T01,F09T01_2,0.64
Forest,F09T01,F09T01_3,0.73
Forest,F09T02,F09T02_1,0.17
Forest,F09T02,F09T02_2,0.19
Forest,F09T02,F09T02_3,0.22
